CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime,
      0,   1,               624,             599,              0,
     28,   2,               488,             463,              0,
     56,   3,               231,             206,              0,
     84,   4,               337,             312,              0,
    112,   5,               222,             197,              0,
    140,   6,               130,             105,              0,
    168,   7,               317,             292,              0,
    196,   8,               439,             414,              0,
    224,   9,               942,             917,              0,
    252,   1,               599,             574,              0,
    280,   2,               463,             438,              0,
    308,   3,               206,             181,              0,
    336,   4,               312,             287,              0,
    364,   5,               197,             172,              0,
    392,   6,               105,              80,              0,
    420,   7,               292,             267,              0,
    448,   8,               414,             389,              0,
    476,   9,               917,             892,              0,
    504,   1,               574,             549,              0,
    532,   2,               438,             413,              0,
    560,   3,               181,             156,              0,
    588,   4,               287,             262,              0,
    616,   5,               172,             147,              0,
    644,   6,                80,              55,              0,
    672,   7,               267,             242,              0,
    700,   8,               389,             364,              0,
    728,   9,               892,             867,              0,
    756,   1,               549,             524,              0,
    784,   2,               413,             388,              0,
    812,   3,               156,             131,              0,
    840,   4,               262,             237,              0,
    868,   5,               147,             122,              0,
    896,   6,                55,              30,              0,
    924,   7,               242,             217,              0,
    952,   8,               364,             339,              0,
    980,   9,               867,             842,              0,
   1008,   1,               524,             499,              0,
   1036,   2,               388,             363,              0,
   1064,   3,               131,             106,              0,
   1092,   4,               237,             212,              0,
   1120,   5,               122,              97,              0,
   1148,   6,                30,               5,              0,
   1176,   7,               217,             192,              0,
   1204,   8,               339,             314,              0,
   1232,   9,               842,             817,              0,
   1260,   1,               499,             474,              0,
   1288,   2,               363,             338,              0,
   1316,   3,               106,              81,              0,
   1344,   4,               212,             187,              0,
   1372,   5,                97,              72,              0,
   1400,   6,                 5,               0,           1405,
   1408,   4,               187,             162,              0,
   1436,   5,                72,              47,              0,
   1464,   7,               192,             167,              0,
   1492,   8,               314,             289,              0,
   1520,   9,               817,             792,              0,
   1548,   1,               474,             449,              0,
   1576,   2,               338,             313,              0,
   1604,   3,                81,              56,              0,
   1632,   4,               162,             137,              0,
   1660,   5,                47,              22,              0,
   1688,   7,               167,             142,              0,
   1716,   8,               289,             264,              0,
   1744,   9,               792,             767,              0,
   1772,   1,               449,             424,              0,
   1800,   2,               313,             288,              0,
   1828,   3,                56,              31,              0,
   1856,   4,               137,             112,              0,
   1884,   5,                22,               0,           1906,
   1909,   9,               767,             742,              0,
   1937,   1,               424,             399,              0,
   1965,   2,               288,             263,              0,
   1993,   3,                31,               6,              0,
   2021,   4,               112,              87,              0,
   2049,   7,               142,             117,              0,
   2077,   8,               264,             239,              0,
   2105,   9,               742,             717,              0,
   2133,   1,               399,             374,              0,
   2161,   2,               263,             238,              0,
   2189,   3,                 6,               0,           2195,
   2198,   4,                87,              62,              0,
   2226,   7,               117,              92,              0,
   2254,   8,               239,             214,              0,
   2282,   9,               717,             692,              0,
   2310,   1,               374,             349,              0,
   2338,   2,               238,             213,              0,
   2366,   4,                62,              37,              0,
   2394,   7,                92,              67,              0,
   2422,   8,               214,             189,              0,
   2450,   9,               692,             667,              0,
   2478,   1,               349,             324,              0,
   2506,   2,               213,             188,              0,
   2534,   4,                37,              12,              0,
   2562,   7,                67,              42,              0,
   2590,   8,               189,             164,              0,
   2618,   9,               667,             642,              0,
   2646,   1,               324,             299,              0,
   2674,   2,               188,             163,              0,
   2702,   4,                12,               0,           2714,
   2717,   9,               642,             617,              0,
   2745,   1,               299,             274,              0,
   2773,   2,               163,             138,              0,
   2801,   7,                42,              17,              0,
   2829,   8,               164,             139,              0,
   2857,   9,               617,             592,              0,
   2885,   1,               274,             249,              0,
   2913,   2,               138,             113,              0,
   2941,   7,                17,               0,           2958,
   2961,   1,               249,             224,              0,
   2989,   2,               113,              88,              0,
   3017,   8,               139,             114,              0,
   3045,   9,               592,             567,              0,
   3073,   1,               224,             199,              0,
   3101,   2,                88,              63,              0,
   3129,   8,               114,              89,              0,
   3157,   9,               567,             542,              0,
   3185,   1,               199,             174,              0,
   3213,   2,                63,              38,              0,
   3241,   8,                89,              64,              0,
   3269,   9,               542,             517,              0,
   3297,   1,               174,             149,              0,
   3325,   2,                38,              13,              0,
   3353,   8,                64,              39,              0,
   3381,   9,               517,             492,              0,
   3409,   1,               149,             124,              0,
   3437,   2,                13,               0,           3450,
   3453,   1,               124,              99,              0,
   3481,   8,                39,              14,              0,
   3509,   9,               492,             467,              0,
   3537,   1,                99,              74,              0,
   3565,   8,                14,               0,           3579,
   3582,   9,               467,             442,              0,
   3610,   1,                74,              49,              0,
   3638,   9,               442,             417,              0,
   3666,   1,                49,              24,              0,
   3694,   9,               417,             392,              0,
   3722,   1,                24,               0,           3746,
   3746,   9,               392,             367,              0,
   3771,   9,               367,             342,              0,
   3796,   9,               342,             317,              0,
   3821,   9,               317,             292,              0,
   3846,   9,               292,             267,              0,
   3871,   9,               267,             242,              0,
   3896,   9,               242,             217,              0,
   3921,   9,               217,             192,              0,
   3946,   9,               192,             167,              0,
   3971,   9,               167,             142,              0,
   3996,   9,               142,             117,              0,
   4021,   9,               117,              92,              0,
   4046,   9,                92,              67,              0,
   4071,   9,                67,              42,              0,
   4096,   9,                42,              17,              0,
   4121,   9,                17,               0,           4138,
